CARLOS,-0.9496,0.116,0.003
VICTOR,-0.9478,0.112,0.003
RICHARD,-0.9475,0.854,0.023
RALPH,-0.9448,0.141,0.004
CHARLES,-0.9441,0.765,0.022
ANTONIO,-0.9400,0.097,0.003
LUIS,-0.9394,0.096,0.003
HARRY,-0.9385,0.126,0.004
NATHAN,-0.9375,0.093,0.003
GARY,-0.9349,0.327,0.011
SHERRY,-0.9348,0.089,0.003
RUBY,-0.9304,0.111,0.004
ALFRED,-0.9294,0.082,0.003
ADAM,-0.9265,0.131,0.005
FLORENCE,-0.9238,0.101,0.004
JEAN,-0.9231,0.175,0.007
JOSEPH,-0.9210,0.705,0.029
TROY,-0.9178,0.070,0.003
JACK,-0.9157,0.159,0.007
BEVERLY,-0.9143,0.134,0.006
SAMUEL,-0.9130,0.154,0.007
MARVIN,-0.9111,0.086,0.004
JEFFERY,-0.9091,0.084,0.004
LEROY,-0.9091,0.063,0.003
JAY,-0.9062,0.061,0.003
SHIRLEY,-0.9062,0.244,0.012
HAZEL,-0.9059,0.081,0.004
HOLLY,-0.9032,0.059,0.003
TOM,-0.9032,0.059,0.003
RAYMOND,-0.8992,0.245,0.013
PAUL,-0.8926,0.476,0.027
ARTHUR,-0.8883,0.169,0.010
ANTHONY,-0.8854,0.362,0.022
EARL,-0.8835,0.097,0.006
SAM,-0.8824,0.048,0.003
JAMES,-0.8813,1.664,0.105
LOUIS,-0.8788,0.124,0.008
NICHOLAS,-0.8776,0.138,0.009
AARON,-0.8760,0.121,0.008
BRENT,-0.8750,0.045,0.003
RAMON,-0.8750,0.045,0.003
DANIEL,-0.8738,0.490,0.033
CALVIN,-0.8710,0.058,0.004
STACEY,-0.8689,0.057,0.004
ANDRE,-0.8605,0.040,0.003
DERRICK,-0.8571,0.052,0.004
FRANCISCO,-0.8551,0.064,0.005
MARION,-0.8495,0.086,0.007
ALBERT,-0.8480,0.158,0.013
BRANDON,-0.8462,0.132,0.011
JACOB,-0.8444,0.083,0.007
ANGEL,-0.8438,0.059,0.005
LESLIE,-0.8438,0.118,0.010
FRANK,-0.8423,0.292,0.025
JOYCE,-0.8384,0.182,0.016
TRACY,-0.8358,0.123,0.011
WALTER,-0.8356,0.201,0.018
SHELLY,-0.8286,0.032,0.003
CECIL,-0.8261,0.042,0.004
KYLE,-0.8242,0.083,0.008
ALLAN,-0.8235,0.031,0.003
EDGAR,-0.8222,0.041,0.004
MELVIN,-0.8222,0.082,0.008
GEORGE,-0.8207,0.467,0.046
ASHLEY,-0.8171,0.159,0.016
BENJAMIN,-0.8133,0.136,0.014
JOY,-0.8039,0.046,0.005
MANUEL,-0.8020,0.091,0.010
PENNY,-0.8000,0.036,0.004
MARCUS,-0.7971,0.062,0.007
STACY,-0.7949,0.070,0.008
COREY,-0.7931,0.052,0.006
GRACE,-0.7925,0.095,0.011
NEIL,-0.7895,0.034,0.004
FLORA,-0.7857,0.025,0.003
PATRICK,-0.7828,0.197,0.024
CHRISTY,-0.7727,0.039,0.005
DALE,-0.7719,0.101,0.013
CLIFFORD,-0.7714,0.062,0.008
KEITH,-0.7714,0.155,0.020
FREDRICK,-0.7600,0.022,0.003
VERA,-0.7544,0.050,0.007
VERNON,-0.7544,0.050,0.007
HERBERT,-0.7528,0.078,0.011
ANGELO,-0.7500,0.021,0.003
GERARD,-0.7500,0.021,0.003
HOMER,-0.7500,0.021,0.003
JULIAN,-0.7500,0.028,0.004
ROSA,-0.7500,0.098,0.014
DENNIS,-0.7417,0.209,0.031
CHESTER,-0.7391,0.040,0.006
HUBERT,-0.7391,0.020,0.003
WESLEY,-0.7377,0.053,0.008
LANCE,-0.7297,0.032,0.005
SHANNON,-0.7280,0.108,0.017
ALFONSO,-0.7273,0.019,0.003
LYNN,-0.7228,0.087,0.014
ANDRES,-0.7143,0.018,0.003
BRUCE,-0.7143,0.132,0.022
DAMON,-0.7143,0.018,0.003
RODERICK,-0.7143,0.018,0.003
TRAVIS,-0.7143,0.084,0.014
GREGORY,-0.7077,0.222,0.038
ARCHIE,-0.7000,0.017,0.003
ROY,-0.6933,0.138,0.025
FREDERICK,-0.6923,0.077,0.014
COURTNEY,-0.6825,0.053,0.010
OTIS,-0.6800,0.021,0.004
SHELLEY,-0.6667,0.025,0.005
TERRY,-0.6610,0.196,0.040
GABRIEL,-0.6522,0.038,0.008
ORLANDO,-0.6522,0.019,0.004
CLINTON,-0.6500,0.033,0.007
BARRY,-0.6386,0.068,0.015
KAY,-0.6364,0.036,0.008
LEIGH,-0.6364,0.018,0.004
LORENZO,-0.6364,0.018,0.004
MALCOLM,-0.6364,0.018,0.004
ROLAND,-0.6364,0.036,0.008
WILBUR,-0.6364,0.018,0.004
DOUGLAS,-0.6356,0.184,0.041
LUTHER,-0.6296,0.022,0.005
BERNARD,-0.6203,0.064,0.015
GLENN,-0.6190,0.085,0.020
VINCENT,-0.6190,0.085,0.020
CODY,-0.6098,0.033,0.008
MILTON,-0.6078,0.041,0.010
BRYAN,-0.6000,0.096,0.024
ISAAC,-0.5758,0.026,0.007
SHELBY,-0.5652,0.018,0.005
TODD,-0.5620,0.107,0.030
LUKE,-0.5556,0.021,0.006
FRANCIS,-0.5504,0.100,0.029
RYAN,-0.5342,0.168,0.051
NORMAN,-0.5254,0.090,0.028
RANDALL,-0.5217,0.070,0.022
LEON,-0.5200,0.057,0.018
LYLE,-0.5200,0.019,0.006
HERMAN,-0.5077,0.049,0.016
WILLARD,-0.4857,0.026,0.009
KENNY,-0.4815,0.020,0.007
LINDSAY,-0.4667,0.033,0.012
LEONARD,-0.4646,0.093,0.034
LAWRENCE,-0.4639,0.142,0.052
CRAIG,-0.4610,0.103,0.038
