ABBIE,ABIGAIL,0.80
ABBY,ABIGAIL,0.81
ABE,ABRAHAM,0.80
ABE,ABRAM,0.60
ADA,ADALINE,0.30
ADDY,ADALINE,0.28
AGGY,AGATHA,0.45
AGGY,AGNES,0.20
AGGY,AUGUSTA,0.30
AGGY,AUGUSTINA,0.30
AL,ALAN,0.40
AL,ALBERT,0.60
AL,ALDO,0.20
AL,ALEXANDER,0.20
AL,ALFONSE,0.40
AL,ALFRED,0.50
AL,ALLAN,0.30
AL,ALLEN,0.30
AL,ALONZO,0.45
ALEX,ALEXANDER,0.85
ALEX,ALEXANDRA,0.85
ALLIE,ALICE,0.30
ALLIE,ALICIA,0.20
ALLIE,ALMENA,0.20
ANDY,ANDERSON,0.35
ANDY,ANDREW,0.75
ANN,ANTOINETTE,0.30
ANN,ANTONIA,0.20
ANN,ROSAENN,0.15
ANN,ROSAENNA,0.20
ANN,ROXANNE,0.50
ANN,ROXANNA,0.45
ANNIE,ANN,0.30
ANNIE,ANNE,0.30
ARA,ARABELLA,0.20
ARA,ARABELLE,0.20
ARCHIE,ARCHIBALD,0.50
ARLY,ARLENE,0.45
ART,ARTHUR,0.90
BABS,BARBARA,0.80
BARBIE,BARBARA,0.75
BARNEY,BARNABAS,0.70
BARNEY,BERNARD,0.50
BART,BARTHOLOMEW,0.85
BEA,BEATRICE,0.70
BECCA,REBECCA,0.55
BECKY,REBECCA,0.50
BELLA,ARABELLA,0.60
BELLA,ISABELLA,0.60
BELLA,ROSABELLA,0.45
BELLE,ARABELLA,0.20
BELLE,BELINDA,0.15
BELLE,ISABEL,0.30
BELLE,ISABELLE,0.35
BELLE,ROSABEL,0.25
BEN,BENEDICT,0.35
BEN,BENJAMIN,0.70
BENJY,BENJAMIN,0.65
BENNIE,BENEDICT,0.30
BERNY,BERNARD,0.20
BERT,ALBERT,0.30
BERT,DELBERT,0.30
BERT,ELBERT,0.20
BERT,GILBERT,0.35
BERT,HERBERT,0.40
BERT,HUBERT,0.30
BERT,NORBERT,0.25
BESS,ELIZABETH,0.30
BETH,ELIZABETH,0.75
BETSY,ELIZABETH,0.35
BETTY,ELIZABETH,0.30
BILL,ROBERT,0.70
BILL,WILLIAM,0.90
BILLY,ROBERT,0.70
BILLY,WILLIAM,0.70
BIRDIE,BERTHA,0.15
BIRDIE,ROBERTA,0.25
BIRTIE,ROBERTA,0.20
BOB,ROBERT,0.90
BOBBIE,BARBARA,0.35
BOBBIE,ROBERTA,0.20
BOBBY,ROBERT,0.40
BRAD,BRADFORD,0.70
BRODY,BRODERICK,0.50
CAL,CALVIN,0.65
CAMMIE,CAMILE,0.15
CARL,CHARLES,0.10
CAROL,CAROLANN,0.65
CAROL,CAROLINE,0.70
CASSIE,CAROLINE,0.40
