　　单位名称 单位地址 热线电话
　　市疾病预防控制中心 河东区新开路与华越道交口 24333479
　　和平区卫生防病站 和平区鞍山道129号 27833123
　　河东区卫生防病站 河东区红星路古田路9号 24341562
　　河西区卫生防病站 河西区平江南道西头 28135655
　　南开区卫生防病站 南开区红旗路雅安道 27618010
　　河北区卫生防病站 河北区王串场正义道19号 26473049
　　红桥区卫生防病站 红桥区丁字沽五中后大道16号 26372999
　　塘沽区疾病预防控制中心 塘沽区福建路43号 25892562
　　汉沽区卫生防病站 汉沽区太平街108号 25695440
　　大港区卫生防病站 大港区迎宾街132号 25991460
　　东丽区卫生防病站 东丽区张贵庄街先锋路8号 24935932
　　津南区卫生防病站 津南区北闸口镇八二公路 88917322
　　西青区卫生防病站 西青区杨柳青镇新华道32号 27393375
　　北辰区卫生防病站 北辰区北医道12号 26391324
　　武清区卫生防病站 武清区杨村镇雍阳西道53号 29382626-8817
　　宝坻区卫生防病站 宝坻区城关镇挹青路2号 29241062
　　静海县疾病预防控制中心 静海县静海镇静文路9号 28942815
　　宁河县卫生防病站 宁河县芦台镇震新路增3号 69591616
　　蓟县卫生防病站 蓟县城关兴华大街55号 82861600-8035
　　开发区卫生防病站 天津开发区第一大街10号 25204382
　　铁路卫生防病站 河北区新大路东二经路1号 26182247
