王石	key_ngd
万科	key_ngs
[Huabei Expressway Co] key_ngs
钟南山 key_nr
忧患精神	key
开心	happ
幸福	happ
遗憾	sorr
北京理工大学 nt
长春 nz
奇虎	nt
周鸿祎	nr
万科	nt
谷歌	nt
阿里巴巴	nt
阿里	nt
淘宝	nt
支付宝	nz
微信	nz
Google	nt
Yahoo	nt
亚马逊	nt
赛门提克	nt
安卓	key
大唐	nt
阿尔卡特 nt
三星	nt
苹果公司	nt
爱奇艺	nt
高德	nt
奇艺	nt
百付宝	nz
余额宝	nz
艾瑞	nt
麦肯锡	nt
高盛	nt
科林	nt
戴尔	nt
19楼 gwot
1m1m健康网 gwjk
21cn gwz
21世纪报 gnbj
21世纪环球报道 gnqg
21世纪经济报道 gnqg
21世纪体育报 gnsc
21世纪网 gwcj
365地产家居网 gwjj
37C医学网 gwjk
39健康网 gwjk
51CTO gwit
51健康网 gwjk
51汽车网 gwqc
52硬件网 gwit
55BBS gwz
80后之窗 gwz
Abu_Dhabi nsf
Abuja nsf
Accra nsf
Adamstown nsf
Addis_Ababa nsf
Akmola nsf
Albania nsf
Algeria nsf
Algiers nsf
Amman nsf
Amsterdam nsf
Andorra nsf
Andorra_La_Vella nsf
Angola nsf
Anguilla nsf
Ankara nsf
Antananarivo nsf
Antigua_And_Barbuda nsf
Antigua_and_Barbuda nsf
Apia nsf
Argentina nsf
Armenia nsf
Ashgabat nsf
Asmara nsf
Astana nsf
Asuncion nsf
Athens nsf
Austria nsf
Bagdad nsf
Bahrain nsf
Bamako nsf
Bangui nsf
Banjul nsf
Barbados nsf
Basse-Terre nsf
Basseterre nsf
Beijing nsf
Beirut nsf
Belgium nsf
Belgrade nsf
Belize nsf
Belmopan nsf
Benin nsf
Berlin nsf
Bermuda nsf
Bern nsf
Bissau nsf
Bogota nsf
Bolivia nsf
Botswana nsf
Brasilia nsf
Brazil nsf
Brazzaville nsf
Bridgetown nsf
British_Virgin_Islands nsf
Brussels nsf
Bucharest nsf
Budapest nsf
Buenos_Aires nsf
Bujumbura nsf
Bulgaria nsf
Burma nsf
Burundi nsf
C114 gwot
CBI News
CNET科技资讯网 gwcj
CSDN gwot
Cairo nsf
Cambodia nsf
Cameroon nsf
Canada nsf
Canberra nsf
Cape_Verde nsf
Caracas nsf
Castries nsf
Central_African_Republic nsf
Chad nsf
Charlotte_Amalie nsf
Chile nsf
China nsf
Colombia nsf
Colombo nsf
Comoros nsf
Conakry nsf
Congo_Rep. nsf
Copenhagen nsf
Costa_Rica nsf
Croatia nsf
Cuba nsf
Cyprus nsf
Czech_Republic nsf
Dakar nsf
Damascus nsf
Dar_Es_Salaam nsf
Denmark nsf
Dhaka nsf
Djibouti nsf
Doha nsf
Dominica nsf
Dominican_Republic nsf
Donews gwit
Dublin nsf
Dushanbe nsf
ELLE中国网 gwss
Ecuador nsf
Egypt nsf
El_Salvador nsf
Equatorial_Guinea nsf
Eritrea nsf
Estonia nsf
Ethiopia nsf
FACE妆点网 gwss
Fiji nsf
Finland nsf
Fort-De-France nsf
France nsf
Freetown nsf
French_Polynesia nsf
Gabon nsf
Gaborone nsf
Georgetown nsf
Georgia nsf
Germany nsf
Ghana nsf
