[2025-03-26 09:11:03]	f:\NLPIR-team\NLPIR\NLPIR-Parser\Data\/TxtExtractor/\antiword\antiword.exe -m f:\NLPIR-team\NLPIR\NLPIR-Parser\Data\/TxtExtractor/\antiword\UTF-8.txt "F:\NLPIR-team\NLPIR\NLPIR-Parser\doc\大数据组件接口文档\Classifier\文本分类组件(Classifier)接口文档20140328.doc" start!
[2025-03-26 09:11:04]	f:\NLPIR-team\NLPIR\NLPIR-Parser\Data\/TxtExtractor/\antiword\antiword.exe -m f:\NLPIR-team\NLPIR\NLPIR-Parser\Data\/TxtExtractor/\antiword\UTF-8.txt "F:\NLPIR-team\NLPIR\NLPIR-Parser\doc\大数据组件接口文档\Classifier\文本分类组件(Classifier)接口文档20140328.doc" End!
[2025-03-26 09:11:04]	f:\NLPIR-team\NLPIR\NLPIR-Parser\Data\/TxtExtractor/\antiword\antiword.exe -m f:\NLPIR-team\NLPIR\NLPIR-Parser\Data\/TxtExtractor/\antiword\UTF-8.txt "F:\NLPIR-team\NLPIR\NLPIR-Parser\doc\大数据组件接口文档\Cluster\文本聚类组件(Cluster)接口文档20140329.doc" start!
[2025-03-26 09:11:04]	f:\NLPIR-team\NLPIR\NLPIR-Parser\Data\/TxtExtractor/\antiword\antiword.exe -m f:\NLPIR-team\NLPIR\NLPIR-Parser\Data\/TxtExtractor/\antiword\UTF-8.txt "F:\NLPIR-team\NLPIR\NLPIR-Parser\doc\大数据组件接口文档\Cluster\文本聚类组件(Cluster)接口文档20140329.doc" End!
[2025-03-26 09:11:04]	f:\NLPIR-team\NLPIR\NLPIR-Parser\Data\/TxtExtractor/\antiword\antiword.exe -m f:\NLPIR-team\NLPIR\NLPIR-Parser\Data\/TxtExtractor/\antiword\UTF-8.txt "F:\NLPIR-team\NLPIR\NLPIR-Parser\doc\大数据组件接口文档\DocExtractor\实体抽取及情感正负度分词组件接口文档20140328.doc" start!
[2025-03-26 09:11:04]	f:\NLPIR-team\NLPIR\NLPIR-Parser\Data\/TxtExtractor/\antiword\antiword.exe -m f:\NLPIR-team\NLPIR\NLPIR-Parser\Data\/TxtExtractor/\antiword\UTF-8.txt "F:\NLPIR-team\NLPIR\NLPIR-Parser\doc\大数据组件接口文档\DocExtractor\实体抽取及情感正负度分词组件接口文档20140328.doc" End!
[2025-03-26 09:11:04]	f:\NLPIR-team\NLPIR\NLPIR-Parser\Data\/TxtExtractor/\antiword\antiword.exe -m f:\NLPIR-team\NLPIR\NLPIR-Parser\Data\/TxtExtractor/\antiword\UTF-8.txt "F:\NLPIR-team\NLPIR\NLPIR-Parser\doc\大数据组件接口文档\DupRemove\去重组件接口文档20140422.doc" start!
[2025-03-26 09:11:04]	f:\NLPIR-team\NLPIR\NLPIR-Parser\Data\/TxtExtractor/\antiword\antiword.exe -m f:\NLPIR-team\NLPIR\NLPIR-Parser\Data\/TxtExtractor/\antiword\UTF-8.txt "F:\NLPIR-team\NLPIR\NLPIR-Parser\doc\大数据组件接口文档\DupRemove\去重组件接口文档20140422.doc" End!
[2025-03-26 09:11:04]	f:\NLPIR-team\NLPIR\NLPIR-Parser\Data\/TxtExtractor/\antiword\antiword.exe -m f:\NLPIR-team\NLPIR\NLPIR-Parser\Data\/TxtExtractor/\antiword\UTF-8.txt "F:\NLPIR-team\NLPIR\NLPIR-Parser\doc\大数据组件接口文档\KeyExtract\关键字提取组件(KeyExtract)接口文档20140328.doc" start!
[2025-03-26 09:11:04]	f:\NLPIR-team\NLPIR\NLPIR-Parser\Data\/TxtExtractor/\antiword\antiword.exe -m f:\NLPIR-team\NLPIR\NLPIR-Parser\Data\/TxtExtractor/\antiword\UTF-8.txt "F:\NLPIR-team\NLPIR\NLPIR-Parser\doc\大数据组件接口文档\KeyExtract\关键字提取组件(KeyExtract)接口文档20140328.doc" End!
[2025-03-26 09:11:04]	f:\NLPIR-team\NLPIR\NLPIR-Parser\Data\/TxtExtractor/\antiword\antiword.exe -m f:\NLPIR-team\NLPIR\NLPIR-Parser\Data\/TxtExtractor/\antiword\UTF-8.txt "F:\NLPIR-team\NLPIR\NLPIR-Parser\doc\大数据组件接口文档\LJSentimentAnalysis\细粒度情感分析组件(LJSentimentAnalysis)接口文档20140328.doc" start!
[2025-03-26 09:11:04]	f:\NLPIR-team\NLPIR\NLPIR-Parser\Data\/TxtExtractor/\antiword\antiword.exe -m f:\NLPIR-team\NLPIR\NLPIR-Parser\Data\/TxtExtractor/\antiword\UTF-8.txt "F:\NLPIR-team\NLPIR\NLPIR-Parser\doc\大数据组件接口文档\LJSentimentAnalysis\细粒度情感分析组件(LJSentimentAnalysis)接口文档20140328.doc" End!
[2025-03-26 09:11:04]	f:\NLPIR-team\NLPIR\NLPIR-Parser\Data\/TxtExtractor/\antiword\antiword.exe -m f:\NLPIR-team\NLPIR\NLPIR-Parser\Data\/TxtExtractor/\antiword\UTF-8.txt "F:\NLPIR-team\NLPIR\NLPIR-Parser\doc\大数据组件接口文档\Summary\文本摘要组件(Summary)接口文档20140328.doc" start!
[2025-03-26 09:11:04]	f:\NLPIR-team\NLPIR\NLPIR-Parser\Data\/TxtExtractor/\antiword\antiword.exe -m f:\NLPIR-team\NLPIR\NLPIR-Parser\Data\/TxtExtractor/\antiword\UTF-8.txt "F:\NLPIR-team\NLPIR\NLPIR-Parser\doc\大数据组件接口文档\Summary\文本摘要组件(Summary)接口文档20140328.doc" End!
[2025-03-26 09:11:04]	f:\NLPIR-team\NLPIR\NLPIR-Parser\Data\/TxtExtractor/\antiword\antiword.exe -m f:\NLPIR-team\NLPIR\NLPIR-Parser\Data\/TxtExtractor/\antiword\UTF-8.txt "F:\NLPIR-team\NLPIR\NLPIR-Parser\doc\大数据组件接口文档\WordFreq\词频统计组件(WordFreq)接口文档20140423.doc" start!
[2025-03-26 09:11:04]	f:\NLPIR-team\NLPIR\NLPIR-Parser\Data\/TxtExtractor/\antiword\antiword.exe -m f:\NLPIR-team\NLPIR\NLPIR-Parser\Data\/TxtExtractor/\antiword\UTF-8.txt "F:\NLPIR-team\NLPIR\NLPIR-Parser\doc\大数据组件接口文档\WordFreq\词频统计组件(WordFreq)接口文档20140423.doc" End!
