词语	词性	权重	词频
11月	t	108.78	90
进行	vx	93.43	158
中国	ns	88.32	267
企业	n	86.73	224
市场	n	83.56	176
一个	mq	82.11	283
2009年	t	72.54	43
发展	vn	71.88	180
丁俊晖	nr	71.33	40
经济	n	70.43	185
上海	ns	68.96	266
公司	n	63.33	141
可以	v	62.46	140
国家	n	60.81	137
开始	v	56.65	92
国际	n	55.02	120
管理	vn	54.02	146
认沽权证	n_new	53.63	17
价格	n	51.72	105
世界	n	51.43	111
李金川	nr	51.01	36
时间	n	49.57	141
投资	v	49.17	94
政府	n	46.16	88
项目	n	45.04	97
工作	vn	44.11	121
成为	v	41.94	80
全国	n	41.73	72
出现	v	41.11	74
记者	n	40.98	159
社会	n	40.09	80
汽车	n	40.08	82
中心	n	39.43	100
相关	vn	38.47	60
表示	v	38.07	125
学生	n	38.00	78
金融衍生产品	n_new	38.00	42
提供	v	37.67	61
10月	t	37.45	49
获得	v	36.79	54
可能	v	36.58	73
物管	n_new	36.45	36
作为	v	36.12	60
服务	vn	35.92	60
人员	n	35.89	74
风险	n	35.46	88
安监总局	n_new	35.44	20
问题	n	35.44	90
温室气体排放	n_new	35.43	13
媒体	n	35.18	46
沈家门渔港	n_new	35.09	22
轨道交通	n_new	34.91	29
安全生产	n_new	34.47	27
建设	vn	34.22	62
医院	n	34.21	62
地区	n	34.20	55
调整	v	34.15	66
产品	n	34.07	96
机构	n	34.06	65
贺岁档	n_new	33.95	26
要求	v	33.88	65
装修	v	33.55	58
有关	vn	33.47	63
集团	n	33.43	60
活动	vn	33.30	72
规划	n	32.46	65
政策	n	32.40	72
气候变化	n_new	32.03	27
滨海新区	n_new	31.90	51
需要	v	31.89	45
提出	v	31.85	49
达到	v	31.69	45
技术	n	31.69	60
已经	d	31.52	132
交通	n	31.49	90
业务	n	31.47	66
方面	n	31.45	67
基本法	n	31.36	74
情况	n	31.17	81
开展	v	31.16	42
参加	v	31.07	39
应该	v	31.06	55
超过	v	30.89	46
选择	v	30.84	51
生活	vn	30.57	63
参与	v	30.22	49
银行	n	30.21	44
自主招生	n_new	30.17	20
产业	n	30.00	52
没有	d	29.98	170
