词语	词性	权重	词频
泼尼松	n_new	97.99	161
抗感染治疗	n_new	88.15	287
脑脊液	n_new	63.67	71
尿量	n_new	60.70	571
输注	n_new	59.39	182
临床表现	n_new	59.04	123
血氧饱和度	n_new	58.70	438
肝肾功	n_new	58.21	318
万古霉素	n_new	50.42	81
肝酶	n_new	48.98	122
特治星	n_new	48.31	93
网织红细胞	n_new	47.34	33
环磷酰胺	n_new	47.15	42
血症	n_new	46.81	360
直肠拭子	n_new	45.92	122
呼吸暂停	n_new	44.94	262
肠鸣音	n_new	44.83	707
皮肤黄染	n_new	43.23	219
脑脊液压力	n_new	43.18	11
血培养	n_new	42.79	102
系统性红斑狼疮	n_new	42.28	125
白蛋白	n_new	42.23	102
监测感染指标	n_new	41.98	185
溶血	n_new	41.88	214
活检	n_new	41.46	73
患儿目前	n_new	40.62	556
巨核细胞	n_new	40.49	29
cTX 冲击 治疗	n_new	40.35	54
心包积液	n_new	40.20	36
精神反应	n_new	38.72	1139
静脉营养	n_new	37.84	90
进行性	n_new	37.32	69
胎龄	n_new	37.21	614
溶血性贫血	n_new	36.73	32
凝血	n_new	36.52	90
b 超	n_new	36.34	135
红细胞增多症	n_new	36.07	77
肾病综合征	n_new	35.52	76
狼疮性肾炎	n_new	35.21	15
糖速	n_new	35.00	72
远端肌力	n_new	34.98	41
安灭菌	n_new	34.97	110
抗磷脂抗体	n_new	34.91	37
肾穿	n_new	34.89	56
血红蛋白	n_new	34.42	116
头颅b超	n_new	34.22	75
头颅b 超	n_new	34.22	75
抗核抗体谱	n_new	33.81	36
代谢性酸中毒	n_new	33.79	64
aBO 血型 不合	n_new	33.52	49
体征	n_new	33.40	241
随诊	n_new	32.88	91
患儿一般情况	n_new	32.75	67
x 线	n_new	32.73	42
适于胎龄儿	n_new	32.53	53
出入量	n_new	32.43	146
密切监测患儿	n_new	32.13	100
纷乐	n_new	31.33	81
紫癜性肾炎	n_new	31.25	18
空氧混合	n_new	31.23	37
腰穿	n_new	31.18	37
中性粒细胞	n_new	30.96	51
残奶	n_new	30.64	162
末梢血	n_new	30.59	90
门诊随诊	n_new	30.38	29
孕母	n_new	29.89	105
赘生物	n_new	29.76	32
蓝光治疗	n_new	28.80	87
弥凝	n_new	28.40	21
听力筛查	n_new	28.34	40
腹部体征	n_new	28.18	128
三凹征	n_new	27.39	118
空氧混合仪	n_new	27.15	4
体重增长	n_new	27.13	19
呼吸次数	n_new	26.97	78
气管插管	n_new	26.94	40
结果回报	n_new	26.92	132
眼科会诊	n_new	26.77	58
监测生命体征	n_new	26.68	262
阿氏评分	n_new	26.61	52
过敏性紫癜	n_new	26.56	24
肌张力	n_new	26.51	524
予蓝光治疗	n_new	26.24	40
残余奶	n_new	26.12	102
专业组查房	n_new	26.03	86
颅内出血	n_new	25.87	55
实验室检查	n_new	25.76	40
生殖细胞瘤	n_new	25.49	15
自主活动	n_new	25.35	425
利尿	n_new	25.28	54
血常规+CRP	n_new	25.06	93
核磁	n_new	24.91	20
定期监测	n_new	24.86	93
维生素c	n_new	24.52	71
吐奶	n_new	24.52	302
肝脾	n_new	24.10	103
腹腔积液	n_new	24.05	12
eB 病毒	n_new	24.02	38
治疗方案	n_new	23.98	91
生命体征平稳	n_new	23.96	394
李冀主治医师	n_new	23.90	449
患儿母亲	n_new	23.83	56
单核细胞	n_new	23.76	25
