Word	Part-Of-Speech	Weight	Frequency
区块链	n_new	547.54	2004
舰载机	n_new	132.10	248
辽宁舰	n_new	107.39	286
数字货币	n_new	96.70	131
炒房囤房者	n_new	91.41	30
政俯	n_new	85.40	126
加密货币	n_new	83.79	98
航母战斗群	n_new	76.15	85
印钞机	n_new	73.58	47
共享单车	n_new	67.13	69
一带一路	n_new	64.70	331
核动力航母	n_new	64.33	149
沿线国家	n_new	62.81	320
国际产能合作	n_new	50.73	31
独立显卡	n_new	50.59	21
空间太阳能电站	n_new	50.31	18
两栖攻击舰	n_new	48.13	28
魔法石1	n_new	47.22	26
雄安新区	n_new	46.24	24
中心化	n_new	45.18	143
精准	n_new	44.67	81
飞行甲板	n_new	43.60	75
航母编队	n_new	41.39	44
舰载战斗机	n_new	41.16	86
电磁弹射	n_new	41.11	75
摩拜单车	n_new	37.88	17
互联互通	n_new	36.93	55
房产税	n_new	36.62	44
武汉p4实验室	n_new	36.51	19
中华民族伟大复兴	n_new	36.29	31
开征房产税	n_new	35.98	13
供应链	n_new	35.22	32
官网	n_new	34.98	28
载机巡洋舰	n_new	34.72	27
人类命运共同体	n_new	34.37	41
中非合作	n_new	33.30	30
茅台集团	n_new	33.26	28
旅游春晚	n_new	33.24	23
丝绸之路经济带	n_new	33.07	20
西太平洋	n_new	32.83	45
国产航母	n_new	32.70	258
太极文化	n_new	31.87	60
客户端	n_new	31.67	33
京东金融	n_new	31.40	42
颠覆性	n_new	31.09	34
中国特色社会主义	n_new	30.95	57
美丽帝	n_new	30.65	31
习主席	n_new	30.52	22
生物安全实验室	n_new	29.85	14
房产税遗产税	n_new	29.81	12
舰载机联队	n_new	29.68	11
系泊试验	n_new	29.17	31
微博	n_new	28.65	22
房熊市	n_new	27.99	29
海试	n_new	27.54	48
华交会	n_new	27.50	30
刺破	n_new	27.47	34
众筹	n_new	27.30	21
挖矿	n_new	26.91	33
相关负责人	n_new	26.87	29
轻型航母	n_new	26.86	21
渣打银行	n_new	26.76	29
水面舰艇	n_new	26.74	20
相控阵雷达	n_new	26.69	33
天津交响乐团	n_new	25.83	16
科技园区	n_new	25.62	32
火箭军	n_new	25.61	12
领军	n_new	25.53	28
人文交流	n_new	25.45	20
智能合约	n_new	25.33	26
吉利汽车	n_new	24.98	32
粤港澳	n_new	24.97	42
底层技术	n_new	24.94	26
军民融合	n_new	23.94	12
智库	n_new	23.90	14
央视财经	n_new	23.85	14
业界	n_new	23.72	14
滑跃起飞	n_new	23.68	24
情感分析	n_new	23.56	18
蒸汽輪机	n_new	23.52	20
外资银行	n_new	23.52	29
泡沫破裂	n_new	23.43	19
彰显	n_new	23.21	23
湾区	n_new	23.20	62
军迷	n_new	22.99	26
香港贸发局	n_new	22.92	20
满载排水量	n_new	22.18	28
开源社区	n_new	22.17	18
征信	n_new	22.07	10
银行乘数	n_new	22.05	13
剪羊毛	n_new	22.01	33
物联网	n_new	21.96	21
资金融通	n_new	21.90	29
高峰论坛	n_new	21.87	33
民心相通	n_new	21.70	18
中国太极文化	n_new	21.45	35
注艺	n_new	21.25	16
经济走廊	n_new	21.14	22
多功能相控阵雷达	n_new	21.11	4
估值	n_new	20.51	9
国际影城	n_new	20.39	8
公有链	n_new	20.24	16
五代机	n_new	20.22	22
关键词提取	n_new	20.18	13
固态硬盘	n_new	20.15	15
金腰带	n_new	20.08	15
词频统计	n_new	20.08	16
迅付	n_new	20.05	15
便利化	n_new	19.96	25
杀跌	n_new	19.92	14
愿景	n_new	19.82	21
不可篡改	n_new	19.59	29
鉴证	n_new	19.55	13
母港	n_new	19.50	17
固定翼	n_new	19.23	39
南海岛礁	n_new	19.12	10
北大光华	n_new	18.78	11
房牛市	n_new	18.75	13
常规动力	n_new	18.69	17
历史性变革	n_new	18.69	34
也门政府	n_new	18.62	9
中国建材	n_new	18.59	14
印钞票	n_new	18.52	26
金鹏航空	n_new	18.51	23
时间戳	n_new	18.45	8
秉持	n_new	18.45	19
楼主	n_new	18.44	218
行业召集人	n_new	18.32	10
房龄	n_new	18.28	11
接入区块链	n_new	18.20	4
先知先觉者	n_new	18.19	10
澎湃新闻	n_new	18.09	35
飞行甲板下方	n_new	18.07	14
空间太阳能科学技术	n_new	18.03	7
话语权	n_new	18.02	13
国内首单	n_new	17.72	15
地缘战略工具	n_new	17.54	27
中国买家	n_new	17.17	21
金砖	n_new	17.05	12
专守防卫	n_new	16.88	20
房奴	n_new	16.87	9
波斯湾	n_new	16.84	7
富勒	n_new	16.79	8
独显	n_new	16.76	12
国资委	n_new	16.74	9
施佬	n_new	16.68	6
充值	n_new	16.68	6
信息报送	n_new	16.68	6
燃机	n_new	16.67	8
钛媒体	n_new	16.55	7
性侵	n_new	16.54	11
中欧班列	n_new	16.51	8
英媒	n_new	16.35	16
航母杀手	n_new	16.15	9
倒闭潮	n_new	16.05	17
检验检疫	n_new	16.03	22
性通货紧缩	n_new	16.03	10
吉利汽车集团	n_new	15.66	13
补给舰	n_new	15.59	12
收付业务	n_new	15.55	15
战斧	n_new	15.21	11
四驱	n_new	15.17	18
抛售潮	n_new	15.15	11
产业生态圈	n_new	15.07	4
中国内地	n_new	15.03	11
负面清单	n_new	14.97	5
海麻雀	n_new	14.97	5
技工教育	n_new	14.91	12
枪支暴力	n_new	14.91	6
住房用地	n_new	14.91	6
母乳研究	n_new	14.91	6
洞朗	n_new	14.91	6
非遗	n_new	14.91	6
黑天鹅	n_new	14.87	8
军演	n_new	14.86	18
续交	n_new	14.83	7
合作办学	n_new	14.82	10
顶层设计	n_new	14.82	8
纺织产业	n_new	14.72	5
备战打仗	n_new	14.72	5
仲裁庭	n_new	14.72	5
欢乐春节	n_new	14.69	6
虚拟货币	n_new	14.67	19
海况	n_new	14.62	20
台式机	n_new	14.57	6
大印钞票	n_new	14.55	9
区块链简史	n_new	14.55	6
仲裁院	n_new	14.44	15
例行记者会	n_new	14.42	21
追捧	n_new	14.38	8
泰达航母	n_new	14.32	8
抗衡中国	n_new	14.23	8
组织形态	n_new	14.19	9
在线支付	n_new	14.19	9
一线城市	n_new	14.09	14
便于区块链	n_new	13.79	2
争端解决	n_new	13.78	14
中远海运	n_new	13.72	11
历史性成就	n_new	13.54	34
倾力	n_new	13.32	13
存放路径	n_new	13.27	11
恶性通货膨胀	n_new	13.26	14
差评	n_new	13.14	6
职业拳击	n_new	13.14	6
对冲基金	n_new	13.13	4
炮艇外交	n_new	13.07	6
扎实推进	n_new	13.00	5
热议	n_new	13.00	7
澳洲牛肉	n_new	12.98	11
福特级	n_new	12.97	7
大连造船厂	n_new	12.94	14
遏制中国	n_new	12.88	5
红狮	n_new	12.86	20
隐形战机	n_new	12.85	10
撞船	n_new	12.82	7
法定货币	n_new	12.80	6
粮食物流	n_new	12.75	9
营商	n_new	12.70	16
融资额	n_new	12.68	6
项目经理	n_new	12.63	4
洋船	n_new	12.63	8
国立大学	n_new	12.63	4
新区管委会	n_new	12.63	4
潍坊舰	n_new	12.63	4
碎片化	n_new	12.63	4
混改	n_new	12.48	5
作战半径	n_new	12.48	5
价值规律帝	n_new	12.48	5
提振	n_new	12.47	6
太平保险	n_new	12.44	9
复旦大学	n_new	12.43	7
二手房	n_new	12.43	7
绝佳	n_new	12.35	9
智力支持	n_new	12.34	6
人才队伍	n_new	12.29	8
蹭热点	n_new	12.26	5
GDP增长率	n_new	12.22	6
亏本生意	n_new	12.13	8
境内外企业	n_new	12.00	19
体育竞猜	n_new	11.96	7
金融大动脉	n_new	11.95	7
冰上丝绸之路	n_new	11.93	5
分组会议	n_new	11.67	6
英国皇家	n_new	11.61	14
河南省分行	n_new	11.55	12
飞鲨	n_new	11.46	7
耐压	n_new	11.45	7
河北雄	n_new	11.40	12
航母公园	n_new	11.38	7
仲裁案	n_new	11.19	4
空警	n_new	11.16	16
技能人才	n_new	11.12	46
逆全球化	n_new	11.06	6
地对空导弹	n_new	11.04	5
军事开支	n_new	10.99	7
华东地区	n_new	10.96	13
外籍人士	n_new	10.89	3
文化交融	n_new	10.89	3
烂尾	n_new	10.89	3
承包工程	n_new	10.88	11
内陆开放	n_new	10.83	9
西工大	n_new	10.81	7
黄岩岛	n_new	10.75	8
站点采集	n_new	10.75	3
高新技术企业	n_new	10.73	11
跌剩	n_new	10.70	6
海湾战争	n_new	10.69	4
宜居	n_new	10.69	4
塔斯社记者	n_new	10.69	4
完成营业额	n_new	10.69	4
绝对忠诚	n_new	10.69	4
乱象	n_new	10.69	4
红杉资本	n_new	10.69	4
投资兴业	n_new	10.69	4
功率密度	n_new	10.69	4
房产经纪	n_new	10.69	8
朴次茅斯港	n_new	10.69	4
可燃冰	n_new	10.66	10
战略欺骗	n_new	10.65	6
平静下来	n_new	10.64	5
黑客攻击	n_new	10.64	5
世界政党	n_new	10.59	7
落地生根	n_new	10.57	6
呆湾	n_new	10.45	6
稳步推进	n_new	10.41	8
大中型航母	n_new	10.36	3
确权	n_new	10.36	3
