Word	Part-Of-Speech	Weight	Frequency
区块链	n_new	413.41	1572
航母	n	189.53	1193
中国	ns	175.33	740
中文	nz	144.63	1323
进行	vx	134.06	274
舰载机	n_new	127.97	166
可以	v	120.04	387
国际中文教育	n_new	110.89	160
一个	mq	107.30	486
技术	n	102.77	626
发展	vn	98.44	443
开始	v	97.18	257
学习	v	91.56	430
数据	n	91.27	276
印度	nsf	86.42	316
全球	n	83.97	346
航空母舰	n	79.44	439
没有	v	76.54	216
市场	n	75.26	281
飞机	njtgj	73.70	173
游戏	n	72.70	301
教育	vn	72.56	616
需要	v	72.19	215
国家	n	69.97	276
海军	n	69.60	352
成为	v	69.57	228
系统	n	68.55	216
项目	n	68.24	199
辽宁舰	n_new	67.91	57
平台	n	67.45	211
应用	vn	67.13	314
建造	v	65.59	190
飞行甲板	n_new	65.24	96
世界	n	65.14	230
国际	n	64.52	416
工作	vn	61.92	202
可能	v	61.91	169
交易	n	60.57	172
教学	vn	60.46	292
提供	v	56.64	162
使用	v	56.56	139
企业	n	55.57	156
学生	n	55.44	151
甲板	n	54.87	265
国际中文教师	n_new	54.71	32
行业	n	54.54	185
能力	n	54.48	161
语言	n	54.29	272
服务	vn	53.94	147
张述洲	nr	53.80	27
加密货币	n_new	53.62	60
领域	n	53.48	189
用户	n	53.15	116
公司	n	51.65	110
汉语	nz	50.89	181
设计	v	50.72	119
解决	v	50.52	132
拥有	v	50.21	101
包括	v	49.84	115
支持	vn	49.73	134
大学	n	48.82	134
金融	n	48.06	200
方面	n	47.25	130
时间	n	46.84	744
山东舰	n_new	46.76	59
机构	n	46.62	130
网络	n	46.61	119
相关	vn	46.51	109
计划	n	45.81	102
产业	n	45.16	246
实现	v	45.09	94
内容	n	44.88	108
中华文化	n_new	44.80	60
攻击	v	44.73	103
数字	n	44.72	238
能够	v	44.33	85
美国	nsf	44.31	372
进入	v	44.29	90
信息	n	44.20	198
教师	n	44.18	171
问题	n	44.16	246
部署	vn	43.45	86
经济	n	43.09	119
采用	v	42.54	90
科技	n	42.18	155
标准	n	42.01	177
完成	v	41.64	93
我国	n	41.60	86
建设	vn	41.53	92
孩子	n	41.36	176
无法	vd	41.20	69
投资	n	40.66	89
学校	n	40.61	148
提升	v	40.55	105
具有	v	40.23	69
中心	n	40.21	172
起飞	vn	39.87	110
美军	n	39.73	88
徐增平	nr	39.48	21
参与	v	39.34	70
海试	n_new	39.13	47
资金	n	38.91	78
文化	n	38.89	215
推动	v	38.80	106
研究	v	38.45	109
存在	v	38.30	68
资产	n	38.13	118
巨鲸未来	n_new	37.95	48
合作	vn	37.58	128
媒体	n	37.53	105
已经	d	37.27	250
战斗机	n	37.13	102
方式	n	36.98	97
人员	n	36.97	89
智能合约	n_new	36.77	26
培训	vn	36.58	103
互联网	n	36.53	113
课程	n	36.27	121
要求	n	36.17	80
准备	v	36.02	55
专业	n	35.73	81
导弹	n	35.73	74
交流	vn	35.63	114
体系	n	35.29	162
节点	n	34.92	78
价值	n	34.86	112
超过	v	34.77	69
选择	v	34.71	85
产品	n	34.57	130
业务	n	34.21	60
联盟	n	34.12	74
疫情	n	34.11	84
关注	v	34.06	91
舰队	n	33.93	76
航母编队	n_new	33.77	39
数字人民币	n_new	33.53	30
达到	v	33.42	63
认为	v	33.39	104
看到	v	33.12	77
社会	n	33.11	94
地区	n	33.00	96
继续	v	32.73	59
形成	v	32.69	72
装备	n	32.47	57
战略	n	32.44	69
管理	vn	32.30	70
应该	v	31.86	42
安全	an	31.79	194
设备	n	31.53	52
成本	n	31.53	62
弹射	vn	30.91	92
保障	vn	30.86	50
希望	v	30.85	61
存储	vn	30.76	63
作战	vi	30.68	99
了解	v	30.36	80
基础设施	n_new	30.14	25
发生	v	30.01	71
价格	n	29.95	68
发现	v	29.88	60
武器	n	29.84	74
创新	vi	29.77	89
